,site_name,site_id,site_type,region,strand,transcript_name,transcript_id
227,H-NS DNA-binding-site regulating gadXp,TU0-14433,DNA-Binding-Sites,,-,gadXW; gadX,TU0-14433; TU0-2261
228,REPt125,REPT125,Repeat-Regions,"(1665137, 1665167)",+,,
229,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 71.5 bases upstream of glnAp1,TU0-5901,DNA-Binding-Sites,"(4058283, 4058305)",-,glnAZ; glnAZLG,TU0-5901; TU00027
230,Fis DNA-binding-site 133 bases upstream of rrsAp,TU0-45165,DNA-Binding-Sites,"(4035099, 4035114)",+,rrsA-ileT-alaT-rrlA-rrfA; rrsA-ileT-alaT-rrlA-rrfA,TU0-45165; TU0-1181
231,REP95b,REP95B,Repeat-Regions,"(1084735, 1084768)",-,,
232,NarL-Pasp59 DNA-binding-site 39 bases upstream of yeaRp,TU0-13407,DNA-Binding-Sites,"(1880030, 1880037)",-,yeaR-yoaG,TU0-13407
233,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 93.5 bases upstream of udpP,TU00134,DNA-Binding-Sites,"(4016287, 4016309)",+,udp,TU00134
234,REP178d,REP178D,Repeat-Regions,"(2568286, 2568322)",-,,
235,OxyR DNA-binding-site 18 bases upstream of oxyRp2,TU0-45266,DNA-Binding-Sites,"(4158431, 4158448)",+,oxyR; oxyS; oxyR,TU0-45266; TU0-8485; TU00051
236,Pasp56 RcsB DNA-binding-site 41.5 bases upstream of osmBp1,TU00388,DNA-Binding-Sites,"(1343511, 1343525)",-,osmB,TU00388
237,REP83a,REP83A,Repeat-Regions,"(900750, 900783)",-,,
238,Nac DNA-binding-site (BS0-10058),javascript:void(0);,DNA-Binding-Sites,"(2989311, 2989328)",,,
239,RcdA DNA-binding-site 298.5 bases upstream of csgDp3,TU0-45257,DNA-Binding-Sites,"(1103638, 1103648)",-,csgDEFG; csgDEFG,TU0-45257; TU00392
240,REP164d,REP164D,Repeat-Regions,"(2347293, 2347328)",-,,
241,TorR-Pasp DNA-binding-site (BS0-10586),javascript:void(0);,DNA-Binding-Sites,,,,
242,Nac DNA-binding-site regulating ligB,TU0-8847,DNA-Binding-Sites,"(3821374, 3821391)",-,ligB,TU0-8847
243,REP6d,REP6D,Repeat-Regions,"(66693, 66728)",-,,
244,Fnr DNA-binding-site (BS0-9674),javascript:void(0);,DNA-Binding-Sites,"(1298411, 1298426)",,,
245,GlpR DNA-binding-site 41.5 bases upstream of glpTQp,TU00216,DNA-Binding-Sites,"(2352483, 2352503)",-,glpTQ; glpABC,TU00216; TU00030
246,REP161f,REP161F,Repeat-Regions,"(2304698, 2304733)",+,,
247,Fnr DNA-binding-site 41.5 bases upstream of dmsAp1,TU00019,DNA-Binding-Sites,"(940775, 940789)",+,dmsABC,TU00019
248,Lrp DNA-binding-site 87.5 bases downstream of micFp2,TU0-45164,DNA-Binding-Sites,"(2313163, 2313178)",+,micF; ompC; micF; ompC; ompC,TU0-45164; TU00477; TU0-2644; TU00476; TU00049
249,REP61a,REP61A,Repeat-Regions,"(699426, 699459)",+,,
250,H-NS DNA-binding-site 0.5 bases upstream of fesp,TU00270,DNA-Binding-Sites,"(612679, 612694)",+,fes-ybdZ-entF-fepE,TU00270
251,NtrC phosphorylated dimer DNA-binding-site 135 bases upstream of glnHp2,TU00172,DNA-Binding-Sites,"(848182, 848182)",-,glnHPQ,TU00172
252,REP152,REP152,Repeat-Regions,"(2219626, 2219659)",+,,
253,OxyR DNA-binding-site 55 bases upstream of hemHp,TU0-12951,DNA-Binding-Sites,"(497968, 497985)",+,hemH,TU0-12951
254,SoxS DNA-binding-site 61.5 bases upstream of uofp,TU0-1281,DNA-Binding-Sites,"(710881, 710901)",-,uof-fur,TU0-1281
255,REP48d,REP48D,Repeat-Regions,"(508732, 508767)",+,,
256,Nac DNA-binding-site (BS0-10042),javascript:void(0);,DNA-Binding-Sites,"(4427160, 4427177)",,,
257,FadR-acyl-CoA DNA-binding-site 10 bases upstream of fadRp1,TU0-14737,DNA-Binding-Sites,"(1234887, 1234904)",+,fadR,TU0-14737
258,REP141a,REP141A,Repeat-Regions,"(2001969, 2002002)",+,,
259,FlhDC DNA-binding-site (BS0-10567),javascript:void(0);,DNA-Binding-Sites,,,,
260,Nac DNA-binding-site regulating curA,TU0-13272,DNA-Binding-Sites,"(1518792, 1518809)",+,curA,TU0-13272
261,REP355c,REP355C,Repeat-Regions,"(4633196, 4633231)",-,,
262,GlaR DNA-binding-site (BS0-9658),javascript:void(0);,DNA-Binding-Sites,"(2212179, 2212194)",,,
263,TrpR-trp DNA-binding-site 56.5 bases downstream of aroLp1,TU00011,DNA-Binding-Sites,"(406327, 406345)",+,aroL-yaiA-aroM,TU00011
264,REP121a,REP121A,Repeat-Regions,"(1552250, 1552283)",+,,
265,Fnr DNA-binding-site 96.5 bases upstream of cydAp4,TU0-3162,DNA-Binding-Sites,"(771110, 771124)",+,cydAB; cydAB; cydAB; cydAB,TU0-3162; TU0-3161; TU00100; TU358
266,NrdR transcriptional repressor DNA-binding-site 45.5 bases upstream of nrdHp,TU0-1022,DNA-Binding-Sites,"(2800603, 2800619)",+,nrdHIEF,TU0-1022
267,REP351a,REP351A,Repeat-Regions,"(4606559, 4606594)",+,,
268,PhoB-Pasp53 DNA-binding-site 54 bases upstream of pstSp2,TU0-45216,DNA-Binding-Sites,"(3911613, 3911632)",-,pstSCAB-phoU; pstS; pstSCA; pstSCA; pstS; pstSCAB-phoU,TU0-45216; TU0-45215; TU0-45214; TU0-14693; TU0-14692; TU00202
269,DNA-binding transcriptional dual regulator Fur DNA-binding-site 77 bases upstream of ftnAp,TU0-13449,DNA-Binding-Sites,"(1988596, 1988615)",+,ftnA,TU0-13449
270,REP336a,REP336A,Repeat-Regions,"(4450945, 4450978)",-,,
271,H-NS DNA-binding-site 67 bases upstream of lacZp1,TU00036,DNA-Binding-Sites,"(366403, 366418)",-,lacZYA,TU00036
272,Nac DNA-binding-site (BS0-10026),javascript:void(0);,DNA-Binding-Sites,"(3582241, 3582258)",,,
273,REP325k,REP325K,Repeat-Regions,"(4326303, 4326338)",-,,
274,BasR-Pasp51 DNA-binding-site regulating eptA,TU0-14345,DNA-Binding-Sites,"(4335634, 4335654)",-,eptA,TU0-14345
275,RpoN DNA-binding-site (BS0-10547),javascript:void(0);,DNA-Binding-Sites,,,,
276,REP321k,REP321K,Repeat-Regions,"(4296399, 4296435)",+,,
277,ArcA-Pasp54 DNA-binding-site regulating rsdp2,TU787,DNA-Binding-Sites,,-,rsd,TU787
278,GlaR DNA-binding-site (BS0-9642),javascript:void(0);,DNA-Binding-Sites,"(1266566, 1266581)",,,
279,REP31f,REP31F,Repeat-Regions,"(375184, 375219)",-,,
280,ArgR-arg DNA-binding-site 16.5 bases downstream of argEp1,TU00226,DNA-Binding-Sites,"(4154873, 4154891)",-,argE; argCBH,TU00226; TU00004
281,OxyR DNA-binding-site 57 bases upstream of trxCp,TU0-3104,DNA-Binding-Sites,"(2718610, 2718627)",+,trxC,TU0-3104
282,REPv69b,REPV69B,Repeat-Regions,"(770745, 770774)",-,,
283,ArcA-Pasp54 DNA-binding-site 27 bases upstream of lpdAp,TU00523,DNA-Binding-Sites,"(127683, 127698)",+,lpdA,TU00523
284,CytR DNA-binding-site 57.5 bases upstream of tsxp2,TU00450,DNA-Binding-Sites,"(432140, 432158)",-,tsx,TU00450
285,REP313a,REP313A,Repeat-Regions,"(4235422, 4235455)",-,,
286,H-NS DNA-binding-site 6 bases upstream of hlyEp,TU581,DNA-Binding-Sites,"(1230465, 1230480)",-,hlyE,TU581
287,Nac DNA-binding-site (BS0-10011),javascript:void(0);,DNA-Binding-Sites,"(2764679, 2764696)",,,
288,REPv331b,REPV331B,Repeat-Regions,"(4409223, 4409251)",-,,
289,RhaS-rhamnose DNA-binding-site 74 bases upstream of rhaSp2,TU0-45202,DNA-Binding-Sites,"(4097629, 4097646)",+,rhaSR; rhaSR,TU0-45202; TU00063
290,Lrp-leu DNA-binding-site 269 bases downstream of rrsBp,TU0-45275,DNA-Binding-Sites,"(4166629, 4166641)",+,rrsB-gltT-rrlB-rrfB; rrsB-gltT-rrlB-rrfB,TU0-45275; TU0-1182
291,REP302b,REP302B,Repeat-Regions,"(4108636, 4108669)",-,,
292,YfeC DNA-binding-site (BS0-10519),javascript:void(0);,DNA-Binding-Sites,"(2518030, 2518064)",,,
293,LexA DNA-binding-site 167.5 bases upstream of uvrBp2,TU00070,DNA-Binding-Sites,"(813287, 813303)",+,uvrB,TU00070
294,REPv280b,REPV280B,Repeat-Regions,"(3877656, 3877684)",-,,
295,GlaR DNA-binding-site (BS0-9626),javascript:void(0);,DNA-Binding-Sites,"(3360933, 3360948)",,,
296,Nac DNA-binding-site (BS0-9990),javascript:void(0);,DNA-Binding-Sites,"(1344741, 1344758)",,,
297,REP296b,REP296B,Repeat-Regions,"(4063561, 4063594)",-,,
298,Fis DNA-binding-site 42.5 bases upstream of gyrAp,TU00140,DNA-Binding-Sites,"(2339492, 2339507)",-,gyrA,TU00140
299,DNA-binding transcriptional dual regulator Fur DNA-binding-site 2 bases upstream of fesp,TU00270,DNA-Binding-Sites,"(612676, 612695)",+,fes-ybdZ-entF-fepE; fepA-entD,TU00270; TU00163
300,REPv250a,REPV250A,Repeat-Regions,"(3512512, 3512540)",+,,
301,LexA DNA-binding-site 4.5 bases downstream of rpsUp3,TU00435,DNA-Binding-Sites,"(3210729, 3210749)",+,rpsU-dnaG-rpoD,TU00435
302,IHF DNA-binding-site 52 bases upstream of rtcBp,TU61,DNA-Binding-Sites,"(3558153, 3558166)",-,rtcBA,TU61
303,REP287b,REP287B,Repeat-Regions,"(3984289, 3984324)",-,,
304,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 207.5 bases upstream of pncBp,TU00195,DNA-Binding-Sites,"(990611, 990633)",-,pncB,TU00195
305,CytR DNA-binding-site 87 bases upstream of udpP,TU00134,DNA-Binding-Sites,"(4016295, 4016314)",+,udp,TU00134
306,REPv213b,REPV213B,Repeat-Regions,"(3070073, 3070101)",-,,
307,MatA DNA-binding-site regulating ecpRp,TU0-12880,DNA-Binding-Sites,,-,ecpR,TU0-12880
308,ZraR-Pasp56 DNA-binding-site (BS0-10493),javascript:void(0);,DNA-Binding-Sites,"(3377441, 3377459)",,,
309,REP26c,REP26C,Repeat-Regions,"(354688, 354721)",-,,
310,SoxS DNA-binding-site 6 bases downstream of nepIp,TU0-14010,DNA-Binding-Sites,"(3841756, 3841776)",-,nepI,TU0-14010
311,GlaR DNA-binding-site (BS0-9610),javascript:void(0);,DNA-Binding-Sites,"(3518463, 3518478)",,,
312,REPv131b,REPV131B,Repeat-Regions,"(1843789, 1843817)",-,,
313,NarL-Pasp59 DNA-binding-site 51 bases upstream of hybOp1,TU00289,DNA-Binding-Sites,"(3146411, 3146418)",-,hybOABCDEFG,TU00289
314,Nac DNA-binding-site (BS0-9977),javascript:void(0);,DNA-Binding-Sites,"(153064, 153081)",,,
315,REP25h,REP25H,Repeat-Regions,"(349936, 349970)",-,,
316,ArcA-Pasp54 DNA-binding-site 15 bases downstream of fadEp,TU0-8793,DNA-Binding-Sites,"(243385, 243400)",-,fadE,TU0-8793
317,H-NS DNA-binding-site regulating flhDp,TU00136,DNA-Binding-Sites,,-,flhDC,TU00136
318,REPt99,REPT99,Repeat-Regions,"(1117869, 1117889)",+,,
319,UxuR DNA-binding-site 24.5 bases upstream of gntPp,TU0-4961,DNA-Binding-Sites,"(4551350, 4551368)",-,gntP; uxuAB,TU0-4961; TU101
320,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 18.5 bases upstream of glcCp,TU0-1963,DNA-Binding-Sites,"(3128177, 3128199)",+,glcC,TU0-1963
321,REP250b,REP250B,Repeat-Regions,"(3512568, 3512601)",-,,
322,NsrR DNA-binding-site 5 bases upstream of fliAp2,TU00471,DNA-Binding-Sites,"(2001808, 2001819)",-,fliAZY,TU00471
323,LeuO DNA-binding-site 21 bases downstream of casAp,TU0-13725,DNA-Binding-Sites,"(2884289, 2884310)",-,casABCDE12,TU0-13725
324,REPt44,REPT44,Repeat-Regions,"(497002, 497027)",+,,
325,QseB-Pasp51 DNA-binding-site (BS0-10467),javascript:void(0);,DNA-Binding-Sites,"(3884216, 3884230)",,,
326,OxyR DNA-binding-site 8 bases downstream of grxAp,TU721,DNA-Binding-Sites,"(890761, 890778)",-,grxA,TU721
327,REP240a,REP240A,Repeat-Regions,"(3297000, 3297036)",+,,
328,ArcA-Pasp54 DNA-binding-site (BS0-9529),javascript:void(0);,DNA-Binding-Sites,"(1523103, 1523118)",,,
329,GadX DNA-binding-site 98.5 bases upstream of gadBp2,TU0-45231,DNA-Binding-Sites,"(1572161, 1572181)",-,gadBC; gadBC,TU0-45231; TU369
330,REPt299c,REPT299C,Repeat-Regions,"(4094413, 4094442)",+,,
331,Nac DNA-binding-site (BS0-9961),javascript:void(0);,DNA-Binding-Sites,"(481110, 481127)",,,
332,IHF DNA-binding-site 33 bases downstream of ssuEp,TU0-6629,DNA-Binding-Sites,"(997525, 997538)",-,ssuEADCB,TU0-6629
333,REP231c,REP231C,Repeat-Regions,"(3231353, 3231386)",+,,
334,CsgD DNA-binding-site 38 bases upstream of csgBp2,TU0-45224,DNA-Binding-Sites,"(1103816, 1103827)",+,csgBAC; csgBAC,TU0-45224; TU00390
335,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 81.5 bases upstream of melAp,TU00131,DNA-Binding-Sites,"(4341795, 4341817)",+,melAB; melR,TU00131; TU00040
336,REPt248,REPT248,Repeat-Regions,"(3493759, 3493784)",+,,
337,CpxR-phosphorylated DNA-binding-site 67 bases downstream of rseDp4,TU281,DNA-Binding-Sites,"(2710113, 2710128)",-,rseD-rpoE-rseABC,TU281
338,NsrR DNA-binding-site 38 bases upstream of hmpp,TU681,DNA-Binding-Sites,"(2685754, 2685765)",+,hmp,TU681
339,REP219a,REP219A,Repeat-Regions,"(3114379, 3114413)",+,,
340,ArcA-Pasp54 DNA-binding-site 21 bases upstream of sodAp,TU00064,DNA-Binding-Sites,"(4100731, 4100746)",+,sodA,TU00064
341,GcvA DNA-binding-site 9 bases downstream of gcvAp,TU00171,DNA-Binding-Sites,"(2942624, 2942639)",-,gcvA; gcvB,TU00171; TU0-6184
342,REPt209d,REPT209D,Repeat-Regions,"(3012582, 3012605)",+,,
343,Lrp DNA-binding-site (BS0-10421),javascript:void(0);,DNA-Binding-Sites,,,,
344,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 36 bases upstream of csqRp,TU0-42682,DNA-Binding-Sites,"(4074594, 4074617)",+,yihW,TU0-42682
345,REP206b,REP206B,Repeat-Regions,"(2945960, 2945993)",-,,
346,ArcA-Pasp54 DNA-binding-site (BS0-9513),javascript:void(0);,DNA-Binding-Sites,"(4160821, 4160836)",,,
347,ArcA-Pasp54 DNA-binding-site 111.0 bases upstream of glcDp,TU0-1962,DNA-Binding-Sites,"(3128180, 3128195)",-,glcDEFGBA,TU0-1962
348,REPt167,REPT167,Repeat-Regions,"(2408793, 2408811)",+,,
349,Nac DNA-binding-site (BS0-9945),javascript:void(0);,DNA-Binding-Sites,"(1896673, 1896690)",,,
350,ArgR-arg DNA-binding-site 331.5 bases upstream of gltBp2,TU0-45182,DNA-Binding-Sites,"(3354169, 3354187)",+,gltBDF; gltBDF,TU0-45182; TU00182
351,REP193a,REP193A,Repeat-Regions,"(2808132, 2808165)",-,,
352,ArcA-Pasp54 DNA-binding-site 5 bases downstream of focAp2,TU00378,DNA-Binding-Sites,"(954492, 954507)",-,focA-pflB; focA-pflB,TU00378; TU00377
353,Fnr DNA-binding-site 5.5 bases downstream of hmpp,TU681,DNA-Binding-Sites,"(2685795, 2685809)",+,hmp,TU681
354,REPt122,REPT122,Repeat-Regions,"(1557064, 1557082)",+,,
355,QseB-Pasp51 DNA-binding-site 6 bases downstream of qseBp2,TU-8387,DNA-Binding-Sites,"(3169748, 3169761)",+,qseBC,TU-8387
356,McbR DNA-binding-site regulating mcbAp5,TU0-13056,DNA-Binding-Sites,,-,mcbA,TU0-13056
357,REP184b,REP184B,Repeat-Regions,"(2662357, 2662393)",-,,
358,ModE-MoO42- DNA-binding-site 192 bases upstream of hycAp,TU00153,DNA-Binding-Sites,"(2850641, 2850665)",-,hycABCDEFGHI,TU00153
359,ArcA-Pasp54 DNA-binding-site 95.5 bases upstream of dpiBp1,TU0-13000,DNA-Binding-Sites,"(651884, 651894)",+,dpiBA; citCDEFXG,TU0-13000; TU0-12999
360,REP92b,REP92B,Repeat-Regions,"(1068419, 1068452)",-,,
361,Lrp DNA-binding-site (BS0-10406),javascript:void(0);,DNA-Binding-Sites,,,,
362,ArgR-arg DNA-binding-site regulating yhcC,TU0-13891,DNA-Binding-Sites,"(3354148, 3354187)",-,yhcC,TU0-13891
363,REP178a,REP178A,Repeat-Regions,"(2568140, 2568173)",+,,
364,ArcA-Pasp54 DNA-binding-site (BS0-9497),javascript:void(0);,DNA-Binding-Sites,"(1084883, 1084898)",,,
365,IHF DNA-binding-site 42.5 bases upstream of pspAp,TU00326,DNA-Binding-Sites,"(1367989, 1368002)",+,pspABCDE,TU00326
366,REP7b,REP7B,Repeat-Regions,"(72188, 72221)",-,,
367,Nac DNA-binding-site (BS0-9929),javascript:void(0);,DNA-Binding-Sites,"(2447984, 2448001)",,,
368,Fis DNA-binding-site 37 bases upstream of topAp4,TU0-2504,DNA-Binding-Sites,"(1330774, 1330789)",+,topA; topA,TU0-2504; TU0-2501
369,REP78a,REP78A,Repeat-Regions,"(845632, 845665)",+,,
370,Lrp DNA-binding-site regulating serAp1,TU00224,DNA-Binding-Sites,,-,serA,TU00224
371,NorR DNA-binding-site 1 bases downstream of norRp,TU0-14258,DNA-Binding-Sites,"(2832301, 2832314)",-,norR; norVW,TU0-14258; TU0-4441
372,REP164a,REP164A,Repeat-Regions,"(2347161, 2347194)",+,,
373,DpiA-Pasp DNA-binding-site 77 bases downstream of dpiBp1,TU0-13000,DNA-Binding-Sites,"(652049, 652072)",+,dpiBA; citCDEFXG; citCDEFXG,TU0-13000; TU0-12999; TU0-14750
374,ArcA-Pasp54 DNA-binding-site 113 bases upstream of acnBp1,TU796,DNA-Binding-Sites,"(131399, 131414)",+,acnB,TU796
375,REP68d,REP68D,Repeat-Regions,"(762893, 762929)",+,,
376,ArgP-arginine DNA-binding-site 16.5 bases upstream of argPp,TU0-1341,DNA-Binding-Sites,"(3059704, 3059724)",+,argP,TU0-1341
377,Lrp DNA-binding-site (BS0-10390),javascript:void(0);,DNA-Binding-Sites,,,,
378,REP161c,REP161C,Repeat-Regions,"(2304531, 2304564)",-,,
379,SoxS DNA-binding-site regulating map-glnD-dapD,TU0-12827,DNA-Binding-Sites,"(189597, 189617)",-,map-glnD-dapD,TU0-12827
380,ArcA-Pasp54 DNA-binding-site (BS0-9481),javascript:void(0);,DNA-Binding-Sites,"(728904, 728919)",,,
381,REP59,REP59,Repeat-Regions,"(689265, 689298)",-,,
382,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 81.5 bases upstream of dctAp,TU0-1461,DNA-Binding-Sites,"(3683569, 3683591)",-,dctA,TU0-1461
383,Nac DNA-binding-site (BS0-9913),javascript:void(0);,DNA-Binding-Sites,"(1301015, 1301032)",,,
384,REP150,REP150,Repeat-Regions,"(2169651, 2169684)",+,,
385,Nac DNA-binding-site 19 bases upstream of serAp1,TU00224,DNA-Binding-Sites,"(3058468, 3058483)",-,serA,TU00224
386,Rob DNA-binding-site 40.5 bases upstream of sodAp,TU00064,DNA-Binding-Sites,"(4100709, 4100729)",+,sodA,TU00064
387,REP48a,REP48A,Repeat-Regions,"(508583, 508616)",-,,
388,ArcA-Pasp54 DNA-binding-site 85 bases upstream of ptsGp1,TU0-1141,DNA-Binding-Sites,"(1157674, 1157689)",+,ptsG,TU0-1141
389,Fis DNA-binding-site 31 bases upstream of yeaRp,TU0-13407,DNA-Binding-Sites,"(1880018, 1880033)",-,yeaR-yoaG,TU0-13407
390,REP13b,REP13B,Repeat-Regions,"(173556, 173589)",-,,
391,IHF DNA-binding-site 58 bases upstream of ndhp,TU00158,DNA-Binding-Sites,"(1165928, 1165941)",+,ndh,TU00158
392,ArgP DNA-binding-site regulating lysCp1,TU0-6552,DNA-Binding-Sites,,-,lysC,TU0-6552
393,REP354c,REP354C,Repeat-Regions,"(4628812, 4628845)",-,,
394,Lrp DNA-binding-site (BS0-10374),javascript:void(0);,DNA-Binding-Sites,,,,
395,SlyA DNA-binding-site 81.5 bases downstream of casAp,TU0-13725,DNA-Binding-Sites,"(2884233, 2884245)",-,casABCDE12,TU0-13725
396,REP117,REP117,Repeat-Regions,"(1508792, 1508824)",+,,
397,ArcA-Pasp54 DNA-binding-site (BS0-9465),javascript:void(0);,DNA-Binding-Sites,"(4366812, 4366827)",,,
398,Fis DNA-binding-site 71 bases upstream of rrsBp,TU0-45275,DNA-Binding-Sites,"(4166289, 4166304)",+,rrsB-gltT-rrlB-rrfB; rrsB-gltT-rrlB-rrfB,TU0-45275; TU0-1182
399,REP346,REP346,Repeat-Regions,"(4554506, 4554539)",-,,
400,Nac DNA-binding-site (BS0-9897),javascript:void(0);,DNA-Binding-Sites,"(3437980, 3437997)",,,
401,Fnr DNA-binding-site regulating ysgAp,TU0-8661,DNA-Binding-Sites,,-,ysgA,TU0-8661
402,REP334b,REP334B,Repeat-Regions,"(4434538, 4434573)",-,,
403,NadR DNA-binding-site 20.5 bases downstream of pncBp,TU00195,DNA-Binding-Sites,"(990386, 990404)",-,pncB,TU00195
404,IHF DNA-binding-site regulating ulaAp,TU0-5162,DNA-Binding-Sites,,+,ulaABCDEF,TU0-5162
405,REP325h,REP325H,Repeat-Regions,"(4326152, 4326185)",+,,
406,RelBE DNA-binding-site 28 bases downstream of relBp,TU0-14381,DNA-Binding-Sites,"(1645871, 1645882)",-,relBE-hokD,TU0-14381
407,NarL-Pasp59 DNA-binding-site 43 bases downstream of dcuBp1,TU00468,DNA-Binding-Sites,"(4348719, 4348726)",-,dcuB-fumB,TU00468
408,REP321h,REP321H,Repeat-Regions,"(4296248, 4296281)",-,,
409,MntR DNA-binding-site 143.5 bases upstream of mntPp,TU0-13420,DNA-Binding-Sites,"(1905305, 1905327)",+,mntP,TU0-13420
410,Lrp DNA-binding-site (BS0-10358),javascript:void(0);,DNA-Binding-Sites,,,,
411,REPv97a,REPV97A,Repeat-Regions,"(1113418, 1113446)",+,,
412,IHF DNA-binding-site 59.5 bases upstream of rpoEp1b,TU0-42636,DNA-Binding-Sites,"(2710447, 2710459)",-,rpoE-rseABC,TU0-42636
413,ArcA-Pasp54 DNA-binding-site (BS0-9449),javascript:void(0);,DNA-Binding-Sites,"(4640689, 4640704)",,,
414,REP31c,REP31C,Repeat-Regions,"(375032, 375065)",+,,
415,LexA DNA-binding-site 22.5 bases upstream of recNp,TU0-2,DNA-Binding-Sites,"(2751727, 2751747)",+,recN,TU0-2
416,Nac DNA-binding-site (BS0-9881),javascript:void(0);,DNA-Binding-Sites,"(4354893, 4354910)",,,
417,REPv63b,REPV63B,Repeat-Regions,"(707838, 707866)",+,,
418,Fnr DNA-binding-site 90.5 bases upstream of feoAp,TU00269,DNA-Binding-Sites,"(3539956, 3539978)",+,feoABC,TU00269
419,LexA DNA-binding-site 20.5 bases upstream of umuDp,TU00180,DNA-Binding-Sites,"(1230708, 1230728)",+,umuDC,TU00180
420,REP311b,REP311B,Repeat-Regions,"(4218485, 4218520)",+,,
421,UidR DNA-binding-site 153.5 bases upstream of uidAp,TU0-5081,DNA-Binding-Sites,"(1696298, 1696314)",-,uidABC,TU0-5081
422,GadW DNA-binding-site 126.5 bases upstream of hdeAp2,TU0-45242,DNA-Binding-Sites,"(3656908, 3656928)",-,hdeAB-yhiD; hdeAB-yhiD,TU0-45242; TU00282
423,REPv327a,REPV327A,Repeat-Regions,"(4344816, 4344844)",+,,
424,IHF DNA-binding-site 49.5 bases upstream of yiaKp1,TU592,DNA-Binding-Sites,"(3742618, 3742631)",+,yiaKLMNO-lyx-sgbHUE,TU592
425,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating aegA,TU0-13640,DNA-Binding-Sites,,-,aegA,TU0-13640
426,REP30,REP30,Repeat-Regions,"(361884, 361917)",-,,
427,Lrp DNA-binding-site (BS0-10342),javascript:void(0);,DNA-Binding-Sites,,,,
428,UvrY-Pasp54 DNA-binding-site regulating luxSp2,TU0-8849,DNA-Binding-Sites,,-,luxS,TU0-8849
429,REPv271a,REPV271A,Repeat-Regions,"(3774237, 3774265)",+,,
430,ArgR-arg DNA-binding-site (BS0-9173),javascript:void(0);,DNA-Binding-Sites,"(4472623, 4472662)",,,
431,NhaR-Na+ DNA-binding-site regulating rrsEp2,TU0-14487,DNA-Binding-Sites,,+,rrsE-gltV-rrlE-rrfE,TU0-14487
432,REP294b,REP294B,Repeat-Regions,"(4053578, 4053614)",+,,
433,Nac DNA-binding-site (BS0-9865),javascript:void(0);,DNA-Binding-Sites,"(565687, 565704)",,,
434,IscR DNA-binding-site 7 bases downstream of napFp3,TU0-8484,DNA-Binding-Sites,"(2303677, 2303702)",-,napFDAGHBC,TU0-8484
435,REPv23h,REPV23H,Repeat-Regions,"(340087, 340115)",-,,
436,GalS DNA-binding-site 59.5 bases upstream of mglBp2,TU0-45256,DNA-Binding-Sites,"(2240618, 2240634)",-,mglBAC; mglBAC,TU0-45256; TU00168
437,GadE DNA-binding-site regulating lrpp,TU00181,DNA-Binding-Sites,,+,lrp,TU00181
438,REP284,REP284,Repeat-Regions,"(3910444, 3910478)",+,,
439,MetJ-SAM DNA-binding-site 49.5 bases downstream of folEp,TU0-13539,DNA-Binding-Sites,"(2243792, 2243808)",-,folE-yeiB,TU0-13539
440,Fis DNA-binding-site 148 bases upstream of adhEp,TU0-45181,DNA-Binding-Sites,"(1298554, 1298569)",-,adhE; adhE,TU0-45181; TU00198
441,REPv202b,REPV202B,Repeat-Regions,"(2917957, 2917983)",-,,
442,CsgD DNA-binding-site 80.5 bases upstream of csgBp2,TU0-45224,DNA-Binding-Sites,"(1103772, 1103786)",+,csgBAC; csgBAC,TU0-45224; TU00390
443,Lrp DNA-binding-site (BS0-10326),javascript:void(0);,DNA-Binding-Sites,,,,
444,REP268d,REP268D,Repeat-Regions,"(3736291, 3736325)",+,,
445,CecR DNA-binding-site regulating rhlE,TU0-8500,DNA-Binding-Sites,"(830658, 830678)",-,rhlE; cecR-ybhGFSR,TU0-8500; TU0-13050
446,ArgR-arg DNA-binding-site (BS0-9157),javascript:void(0);,DNA-Binding-Sites,"(849151, 849190)",,,
447,REPv129b,REPV129B,Repeat-Regions,"(1816255, 1816283)",-,,
